variance,skewness,curtosis,entropy,Class
39166,102491,-40926,-446590,0
39262,60299,-20156,-6553.1,0
55910,104643,-43839,-433790,0
37522,-36978,39943,130510,0
13114,45462,22935,22541,0
37022,69942,-18511,-12889,0
43640,-31039,23757,78532,0
35829,14423,10219,140080,0
46500,-48297,34553,-25174,0
51731,39606,-19830,40774,0
32692,34184,2070.6,-6682.4,0
24012,16223,30312,71679,0
17257,-44697,82219,-180730,0
47965,69859,-19967,-35001,0
40962,101891,-39323,-418270,0
25559,33605,20321,26809,0
34916,85709,-30326,-59182,0
5195,-32633,30895,-98490,0
29856,72673,-4090,-224310,0
40932,54132,-18219,23576,0
17748,-7697.8,55854,130390,0
52012,3269.4,1796.5,117970,0
-4506.2,-13678,70858,-40303,0
48451,81116,-29512,-147240,0
7484.1,72756,11504,-53880,0
51213,85565,-33917,-154740,0
36181,-37454,28273,-71208,0
404.98,85234,14461,-393060,0
-26479,101374,-13310,-547070,0
3798.4,7097.5,7571.6,-44441,0
-9592.3,910.39,62204,-148280,0
28672,100008,-32049,-310950,0
10182,91090,-6206.4,-171290,0
-27143,114535,21092,-396290,0
38244,-31081,24537,52024,0
27961,21210,18385,38317,0
35358,67086,-8185.7,47886,0
-7056,87241,22215,-459650,0
41542,72756,-24766,-120990,0
9270.3,94318,-6626.3,-167280,0
18216,-64748,80514,-41855,0
-24473,126247,7357.3,-766120,0
35862,-30957,28093,24481,0
6619.1,96594,-2881.9,-166380,0
47926,17071,-517.01,149260,0
49852,83516,-25425,-128230,0
7573.6,30294,29164,-6811.7,0
46499,76336,-19427,-37458,0
-235.79,71742,7845.7,-75734,0
8557.4,82.678,66042,-53104,0
8829.8,6600.9,60096,-43277,0
40422,-43910,47466,113700,0
22546,80992,-2487.7,-326980,0
3847.8,65989,-3336,-56466,0
31541,-51711,65991,57455,0
23969,2358.9,48477,143700,0
47114,20755,-2702,123790,0
40127,101477,-39366,-407280,0
26606,31681,19619,18662,0
39310,18541,-234.25,123140,0
172.7,86930,13989,-396680,0
32414,4097.1,14015,119520,0
22504,35757,3527.3,28360,0
-13971,33191,-13927,-199480,1
3901.2,-1427.9,-319.94,35084,1
-16677,-71535,78929,96765,1
-38483,-128047,156824,-128100,1
-35681,-82130,100830,96765,1
-22804,-3062.6,13347,137630,1
-17582,27397,-25323,-223400,1
-8940.9,31991,-18219,-294520,1
3434,1241.5,-2873.3,14654,1
-9854,-66610,58245,54610,1
-24115,-91359,93444,-65259,1
-15252,-62534,53524,59912,1
-6144.2,-910.58,-3181.8,50214,1
-3650.6,28928,-36461,-306030,1
-59034,65679,6766.1,-667970,1
-18215,27521,-7226.1,-235300,1
-7746.1,-18768,24023,113190,1
-18187,-90366,90162,-12243,1
-35801,-129309,131779,-256770,1
-18219,-68824,54681,5731.3,1
-3481,-3869.6,-4784.1,62627,1
4736.8,33605,-45064,-404310,1
-34083,48587,-7688.8,-486680,1
-16662,-3000.5,14238,2498.6,1
-20962,-71059,66188,-33708,1
-26685,-104519,91139,-173230,1
-4746.5,-43496,19901,75170,1
10552,11857,-26411,11033,1
11644,38095,-49408,-409090,1
-44779,73708,-3121.8,-677540,1
-27338,4552.3,24391,21766,1
-22860,-54484,58039,88231,1
-16244,-63444,46575,16981,1
5081.3,4779.9,-19804,57714,1
16408,42503,-49023,-266210,1
8158.3,48400,-52613,-608230,1
-54901,91048,-3875.8,-597630,1
-32238,27935,3227.4,-86078,1
-20631,-15147,12190,44524,1
-9131.8,-20113,-1956.5,6636.5,1
6005,19327,-32888,-32415,1
9131.5,33377,-40557,-167410,1
-2801.5,30729,-33857,-291550,1
-36085,33253,-5195.4,-357370,1
-62003,86806,91.344,-370300,1
-42932,33419,7725.8,-99785,1
-30265,-620.88,6860.4,-5518.6,1
-17015,-103.56,-9933.7,-53104,1
-6432.6,24748,-29452,-102760,1
-8633.9,19348,-23729,-108970,1
-20659,10512,-4629.8,-109740,1
-21333,15685,-842.61,-174530,1
-12568,-14733,28718,44653,1
-31128,-68410,107402,-101720,1
-48554,-59037,109818,-82199,1
-25880,38654,-3336,-127970,1
2439.4,14733,-14192,-58535,1
-15322,-50966,66779,17498,1
-40025,-134979,176772,-332020,1
-40173,-83123,124547,-143750,1
-30731,-5318.1,23877,77627,1
-19790,32301,-13575,-258190,1
-4294,-1469.3,442.65,-15605,1
-22340,-70314,74936,61334,1
-42110,-124736,149704,-138840,1
-38073,-80971,101772,65084,1
-25912,-1055.4,12798,104140,1
-22482,30915,-23969,-267110,1
-14427,32922,-19702,-343920,1
-3941.6,-207.02,-662.67,-44699,1
-15220,-66383,57491,-10691,1
-28267,-90407,90694,-98233,1
-17263,-60237,52419,29524,1
-9425.5,393.07,-2419.2,31593,1
-8956.9,30025,-36067,-344570,1
-62815,66651,5258.1,-701070,1
-23211,31660,-10002,-271510,1
-13414,-20776,28093,60688,1
-22580,-93263,93727,-85949,1
-38858,-128461,127957,-313530,1
-18969,-67893,52761,-32544,1
-5264.5,-2483.2,-4561.3,41938,1
96.613,35612,-44070,-441030,1
-38826,48980,-9231.1,-508010,1
-21405,-1676.2,13210,-20906,1
-24824,-73046,68390,-59053,1
-29098,-100712,84156,-199480,1
-6097.5,-40020,18471,60170,1
8362.5,11071,-24706,-6294.5,1
6073.1,39544,-47720,-448530,1
-48861,70542,-1725.2,-695900,1
-31366,4221.2,26225,-6423.8,1
-25754,-56574,61030,65214,1
-18782,-65865,48486,-2156.6,1
2426.1,5731.8,-19402,44007,1
12960,42855,-48457,-290130,1
2594.3,50097,-50394,-638620,1
-58730,91752,-2744.8,-604220,1
-34605,26901,1616.5,-102240,1
-23797,-14402,11273,16076,1
-12424,-17175,-5255.3,-21036,1
2021.6,19182,-32828,-61768,1
5982.3,35012,-39795,-178410,1
-7799.5,32322,-32820,-310040,1
-41409,34619,-4784.1,-388790,1
-65084,87696,2319.1,-393700,1
-44996,34288,5626.5,-116720,1
-33125,1013.9,5532.3,-29570,1
-19423,3766,-12898,-82458,1
-7579.3,25349,-30464,-126290,1
-9540.3,19824,-23163,-119570,1
-22173,14671,-7268.9,-117240,1
-27990,19679,-4235.7,-211250,1
-18629,-8484.1,25377,9739.9,1
-35916,-62285,102389,-115430,1
-51216,-53118,103846,-106120,1
-32854,40372,-4535.6,-182280,1
-5687.7,14174,-14252,-112460,1
-23518,-48359,66479,-6035.8,1
-44861,-132889,173087,-321940,1
-43876,-77267,119655,-145430,1
-33604,-3269.6,21324,60170,1
-10112,29984,-11664,-161850,1
302.19,-10512,14024,77369,1
-16514,-84985,91122,123790,1
-32692,-127406,155573,-14182,1
-25701,-68452,89999,213530,1
-13066,2524.4,7623,177580,1
-16637,32881,-22701,-222240,1
-5500.8,28659,-16488,-243190,1
2143.1,-6952.9,8771.1,29653,1
-7728.8,-74473,64920,36119,1
-18391,-90883,92416,-10432,1
-6329.8,-51277,45624,147970,1
40.545,6290.5,-6412.1,75817,1
-2869.6,31784,-35767,-318960,1
-52406,66258,-1990.8,-686070,1
-14446,21438,-4724.1,-166770,1
-6576.7,-28018,37115,99739,1
-15449,-101498,96152,-123320,1
-28957,-120205,119149,-275520,1
-8147.9,-57381,43919,32110,1
5022.5,6538.8,-11793,39998,1
7452.1,36357,-44044,-414140,1
-29146,40537,-4569.9,-403270,1
-13907,-13781,23055,-2156.6,1
-17860,-81157,70858,-121120,1
-17322,-92828,77190,-171680,1
5529.8,-34619,17048,110080,1
20310,18520,-30121,300.3,1
12279,40309,-46435,-391250,1
-42249,62699,1582.2,-554570,1
-25346,-7739.2,33602,171,1
-17490,-63320,60987,14266,1
-5390,-51670,34399,5214.1,1
15631,8959.9,-19702,65472,1
23917,45565,-49888,-289870,1
8951.2,47738,-48431,-559090,1
-54808,81819,2781.8,-503230,1
-28833,17713,6894.6,-46380,1
-14174,-22535,15180,61981,1
4283,-9498.1,-10731,32110,1
15904,22121,-31183,-11725,1
17425,36833,-40129,-172070,1
-2335.6,32405,-30669,-277840,1
-36227,39958,-3584.5,-390470,1
-61536,79295,6166.3,-326460,1
-39172,26652,7888.6,-78190,1
-22214,-2379.8,5600.8,5602,1
-4924.1,8939.2,-16283,-56854,1
2651.7,24066,-28416,-59958,1
-1023.4,18189,-22169,-56725,1
-16176,10926,-3550.2,-59958,1
-18448,12540,2721.8,-107280,1
-12786,-24087,45735,47627,1
-29020,-76563,118318,-84268,1
-43773,-55167,109390,-40820,1
-20529,38385,-7954.4,-121380,1
1886.8,7014.8,-5118.2,558.92,1
-17279,-68410,89494,68058,1
-33793,-137731,179274,-203230,1
-31273,-71121,113897,-8363.4,1
-21210,-558.8,19490,135300,1
-17697,34329,-12144,-237890,1
-12.852,1386.3,-1965.1,817.54,1
-16820,-68121,71398,133230,1
-34917,-121736,143689,-61639,1
-31158,-86289,104403,97153,1
-20891,-4842.2,17040,174350,1
-16936,27852,-21835,-192760,1
-12846,32715,-17671,-326080,1
-921.94,3931.5,-3284.6,-13794,1
-10292,-63879,55255,79955,1
-22083,-91069,89991,-28406,1
-10744,-63113,53550,80472,1
-5100.3,-2359.1,202.73,76334,1
-3637.2,30439,-34816,-278360,1
-63979,64479,10836,-661760,1
-22501,33129,-8836.9,-289740,1
-11859,-12519,22635,77239,1
-18076,-88131,87086,-21682,1
-33863,-129889,130545,-272020,1
-14106,-71080,56454,31335,1
-2139.4,-6828.7,965.32,119650,1
4879.7,35674,-43882,-381160,1
-38167,51401,-6506.3,-543060,1
-19555,2069.2,12473,-37070,1
-21786,-64479,60344,-20777,1
-23299,-99532,84756,-187330,1
31.201,-40061,17956,91722,1
13518,10595,-23437,39998,1
12309,38923,-48277,-400690,1
-50301,75032,-1339.6,-750340,1
-30799,6083.6,27039,-23751,1
-22987,-52270,56300,91722,1
-12390,-65410,48151,-3320.4,1
7589.6,2917.6,-16506,83834,1
16799,42068,-45398,-239310,1
6365.5,52022,-52159,-612110,1
-60598,92952,-4364.2,-636940,1
-35180,28763,1548,-120860,1
-20336,-14092,11582,36507,1
-6974.5,-17672,-3447.4,-12372,1
7510.8,19161,-31098,-20518,1
8454.6,34826,-36307,-139610,1
-5564.8,32136,-33085,-279650,1
-36817,32239,-6934.7,-340040,1
-67526,88172,-619.83,-372500,1
-45770,34515,6671.9,-94742,1
-29883,3124.5,4504.1,6895.1,1
-14781,1427.7,-11622,-48579,1
-4665.1,23383,-29812,-104310,1
-8734,16533,-21964,-78061,1
-21234,11815,-5555.2,-81165,1
-23142,20838,-4681.3,-167670,1
-14233,-9891.2,23586,39481,1
-30866,-66362,105405,-89182,1
-47331,-61789,113880,-107410,1
-28829,38964,-1888,-116720,1
-361.27,15250,-14089,-76121,1
-17104,-47780,62109,39740,1
-38203,-130551,169583,-230520,1
-37181,-85089,123630,-95518,1
-28990,-6042.4,26045,137760,1
-9819.3,27956,-12341,-156680,1
-1729.6,-11816,13818,73360,1
-19409,-86848,91550,94049,1
-35713,-124922,148881,-47027,1
-29915,-66258,86521,181980,1
-18483,3103.8,7734.4,141890,1
-22677,32964,-22563,-246420,1
-5081.6,28680,-18108,-226120,1
1432.9,-10885,10039,48791,1
-9078.4,-79026,67807,34179,1
-20042,-93676,93333,-10303,1
-9358.7,-51008,45367,138660,1
-4080.4,5421.4,-5272.5,65860,1
-8172,33812,-36684,-345600,1
-48392,66755,-2427.8,-657750,1
-12792,21376,-4758.4,-139740,1
-6600.8,-32260,38058,118360,1
-17713,-107665,102184,-100430,1
-30061,-122377,119552,-216030,1
-11022,-58395,45641,68705,1
1180.6,3910.8,-9822.3,42843,1
1168.6,37350,-44379,-437410,1
-27264,39213,-4921.2,-363710,1
-12369,-16906,25180,51636,1
-18439,-86475,76796,-66682,1
-18554,-96035,77764,-97716,1
1635.8,-33584,13749,135690,1
15077,19596,-30584,-12243,1
6788.6,41199,-45690,-414140,1
-39934,58333,5472.3,-493790,1
-23898,-7842.7,30141,76205,1
-17976,-67686,66753,89912,1
-7086.7,-55602,40483,90300,1
10194,11029,-23000,59395,1
17875,47800,-51362,-323620,1
2733.1,48773,-49194,-581980,1
-51661,80433,442.65,-449830,1
-27028,16327,8359.8,-9139.3,1
-14904,-22183,16054,89394,1
-149.02,-10243,-9402.4,64955,1
8899.2,22638,-31046,-11855,1
10637,36957,-41594,-193790,1
-8471,31329,-30112,-293880,1
-39594,40289,-3584.5,-389570,1
-58818,76584,5558,-291550,1
-37747,25162,8334.1,-30993,1
-24198,-2441.8,7014.6,41809,1
-8353.5,8049.4,-16411,-19225,1
-3043.2,26528,-27756,-65647,1
-6025.4,17237,-21501,-77027,1
-21059,11815,-5332.4,-82716,1
-20441,12271,1856.4,-109100,1
-15621,-22121,42591,27972,1
-32305,-72135,116433,-94613,1
-48426,-49932,104052,-53104,1
-23147,36668,-6969,-124740,1
-1171.6,6042.2,-3858.7,-5906.5,1
-20066,-67190,90162,9998.5,1
-36961,-136779,175795,-261810,1
-36012,-65389,105234,-48967,1
-26286,1800.2,17956,97282,1
-8260.1,29611,-12864,-146470,1
3180.3,-9932.6,10947,88619,1
-14454,-84385,88483,96894,1
-31423,-130365,156773,-66165,1
-25373,-69590,88054,152890,1
-13660,1841.6,9053.9,158060,1
-17064,33088,-22829,-219780,1
-4196.5,29094,-17859,-220690,1
3763.7,-8235.8,7854.3,74524,1
-5535.5,-79233,67156,74394,1
-16001,-95828,94044,8188.2,1
-3701.3,-55540,47749,154700,1
1212.6,2234.7,-4732.7,97024,1
-2706.8,32674,-35562,-308880,1
-51190,66486,-499.87,-652060,1
-13946,23134,-4449.9,-149050,1
-6987.9,-33771,41211,150430,1
-14800,-105244,99176,-50260,1
-26649,-128130,126689,-190820,1
-6268.4,-63010,47843,110600,1
5180,2586.5,-8408.5,96118,1
6437.6,37640,-44738,-404830,1
-29821,41986,-5898,-396420,1
-14628,-15706,24357,49826,1
-17101,-87903,79735,-45475,1
-15572,-98808,81088,-108060,1
7442.8,-37723,16131,157540,1
20177,17982,-29581,20990,1
11640,39130,-45544,-386720,1
-43667,60692,5720.8,-546680,1
-25919,-10553,38949,77757,1
-18046,-68141,67019,116810,1
-7186.8,-57154,38298,102330,1
14378,6683.7,-20267,102710,1
21943,45503,-49760,-272540,1
7376,48525,-47986,-566590,1
-56370,81261,1308.1,-501420,1
-30193,17775,7374.5,-45346,1
-16706,-20900,15840,71162,1
-1269,-11505,-9513.8,57843,1
12198,20982,-31954,12843,1
14501,36067,-40557,-159660,1
-4085.7,30977,-29607,-268920,1
-38952,38157,-3130.4,-381940,1
-63679,80102,4247,-322070,1
-41429,27749,6826.1,-71984,1
-26864,-972.65,6166.3,6119.2,1
-10555,7945.9,-16968,-46768,1
-2985.8,24769,-29512,-66165,1
-4994.8,17734,-22469,-68104,1
-19881,9994.5,-2856.2,-70044,1
-19389,15706,459.79,-112200,1
-14375,-18624,40260,55127,1
-31875,-75756,118678,-57889,1
-46765,-56636,109690,-33449,1
-20285,38468,-6343.5,-117500,1
2663.7,7325.2,-6789.1,3533,1
-17589,-64624,84773,31981,1
-35985,-136593,176052,-249270,1
-33582,-72404,114419,-57113,1
-23629,-1055.4,19336,113580,1
-21802,33791,-12256,-266210,1
-4095.1,-1552.1,605.45,-8880.7,1
-22918,-72570,79597,92110,1
-40214,-128006,156199,-95647,1
-33884,-82150,103315,98187,1
-20046,-4945.7,13330,165430,1
-17063,27956,-23780,-234910,1
-16386,33584,-17302,-356460,1
-4164.5,3248.7,-3361.7,-36036,1
-15877,-66072,58022,31593,1
-25961,-93490,97942,-28018,1
-15228,-64789,57568,87325,1
-5307.2,-972.65,-2179.3,104260,1
-4908.1,28452,-36436,-310040,1
-65773,68017,8548.3,-753440,1
-24621,27645,-6257.8,-285730,1
-13995,-19162,25154,59912,1
-23221,-93304,92330,-79871,1
-37300,-129723,129817,-268400,1
-16988,-71163,57902,16723,1
-2665.4,-6456.2,-4201.4,89136,1
3332.5,33108,-45081,-401200,1
-42091,47283,-4912.6,-521590,1
-23142,-6849.4,19833,-44829,1
-24835,-74494,68964,-64484,1
-27611,-105099,90239,-195470,1
-3602.5,-44490,21067,94308,1
10117,9022,-23506,42714,1
9670.8,38426,-49314,-413230,1
-52049,72590,708.27,-730040,1
-33203,-269.1,29618,-44958,1
-25650,-57899,60122,4696.8,1
-15951,-65720,47689,-94354,1
7049,1717.4,-17859,36119,1
17331,39544,-47412,-250170,1
6818,48504,-52133,-610430,1
-63364,92848,142.75,-678440,1
-38053,24273,6809,-108710,1
-21979,-21252,17151,45171,1
-8787.4,-22121,-517.01,9998.5,1
7406.7,17299,-31963,-14570,1
9829.6,34226,-39692,-171160,1
-3489,31929,-34054,-318320,1
-38552,35219,-3841.5,-386080,1
-69599,89931,2182,-457200,1
-47462,31205,10750,-129660,1
-32051,-1427.9,9756.5,4567.5,1
-17549,-807.11,-7577.4,-37070,1
-5958.7,24811,-28673,-89828,1
-8954.2,20279,-23652,-127460,1
-20754,12767,-6420.6,-126420,1
-32778,18023,1805,-239310,1
-22183,-12540,29986,36378,1
-35895,-65720,105251,-16381,1
-50477,-58023,112440,-39010,1
-35741,39440,-791.2,-212030,1
-7351,17361,-14938,-115820,1
-22617,-47428,63489,11162,1
-42440,-130634,171116,-280170,1
-40218,-83040,125550,-150990,1
-30201,-6725.3,27056,85774,1
-24941,35447,-13721,-284830,1
-8312.1,393.07,536.9,-23105,1
-25665,-68824,75416,70774,1
-44018,-129371,156559,-168060,1
-37573,-82916,103032,38059,1
-24725,-4014.5,14855,111890,1
-19725,28825,-23086,-237240,1
-20149,36874,-19385,-389180,1
-8205.3,6518.1,-4886.9,-52716,1
-17886,-63486,56154,42584,1
-29138,-94711,97668,-60216,1
-18343,-65907,56429,54998,1
-8734,-331.18,-2016.5,55774,1
-7034.6,29570,-35947,-314570,1
-67387,69879,6783.3,-758870,1
-27723,32777,-9351,-314570,1
-16641,-13678,19970,52283,1
-24349,-92497,89922,-50001,1
-37930,-127095,127957,-282500,1
-19551,-69756,55383,-12889,1
-6907.8,-5007.7,-3541.7,47498,1
250.13,33998,-44327,-426550,1
-43967,49601,-6489.2,-547190,1
-24560,-2441.8,14041,-45863,1
-26200,-68555,62169,-62285,1
-29662,-103257,87840,-211380,1
-7149.4,-44448,22241,49826,1
6005,9994.5,-22126,9739.9,1
6165.2,38944,-47275,-439480,1
-54414,72363,1093.8,-756420,1
-35798,4593.7,23457,-45734,1
-27769,-56967,59179,37671,1
-18356,-67562,50585,-55044,1
3008.1,1738.1,-17542,48921,1
13403,41323,-47018,-259870,1
2687.7,49870,-51508,-639130,1
-65235,96014,-2539.2,-696420,1
-40679,24955,7957.1,-110390,1
-25640,-17051,15026,32757,1
-13414,-19162,-1553.8,-11984,1
2387.4,20879,-33522,-66553,1
6212,36771,-40771,-207110,1
-7784.8,34019,-34859,-355690,1
-41244,37909,-6532,-418020,1
-70421,92000,2593.3,-468320,1
-49462,35716,8274.2,-149570,1
-35359,3041.7,6569,-29570,1
-20662,1696.7,-10054,-82975,1
-8872.8,28080,-31432,-120350,1
-10941,23072,-25237,-144530,1
-24458,16285,-8854.1,-148020,1
-35510,18955,1865,-244090,1
-22811,-8566.9,27185,4438.2,1
-36053,-59740,100916,-82846,1
-50676,-51877,104266,-86725,1
-39204,40723,-2367.8,-211510,1
-11306,18458,-13575,-138060,1
-24561,-45566,64534,-5647.9,1
-44775,-130303,170834,-303450,1
-41958,-81819,121291,-160170,1
-33800,-7077,25325,71808,1
-24365,36026,-14166,-289480,1
-7768.8,1303.6,-311.37,-35389,1
-27083,-68266,75339,59007,1
-45531,-125854,154417,-149830,1
-38894,-78322,98208,47498,1
-25084,-2276.3,14880,120690,1
-21652,30211,-24132,-242410,1
-18974,35074,-17842,-384910,1
-6204.3,5587,-3858.7,-66423,1
-18387,-63010,56506,19567,1
-30000,-91566,95766,-73018,1
-19116,-61603,56060,48533,1
-10050,848.31,-2462,45688,1
-8783.4,32570,-36778,-329440,1
-66510,67934,6860.4,-758870,1
-25463,31101,-8322.8,-303580,1
-14377,-14320,21144,42067,1
-24554,-90407,88620,-86983,1
-39411,-128792,130597,-331250,1
-21241,-68969,55992,-47156,1
-7432.4,-3290.2,-4278.5,23317,1
-715.03,37412,-45415,-425260,1
-42333,49166,-4921.2,-532070,1
-23675,-4366.3,16920,-43018,1
-25526,-73625,69255,-66811,1
-30986,-104602,89717,-234270,1
-8980.9,-44862,22009,50731,1
5623.2,10015,-22726,-604.86,1
5393.6,38944,-48166,-434180,1
-53012,73915,296.99,-739870,1
-33553,3559.1,26473,-37846,1
-27908,-57133,59530,45946,1
-19983,-66072,48254,-41984,1
1542.3,1179.4,-16823,59524,1
12080,40744,-47635,-261290,1
2952,48856,-51490,-623230,1
-64247,95311,228.44,-685170,1
-39933,26218,6286.3,-115950,1
-26590,-16058,13647,16464,1
-14094,-21252,-1039.7,-19225,1
1103.2,19741,-33668,-65259,1
5237.4,36440,-40746,-199090,1
-7679.4,34598,-34405,-342760,1
-39698,36812,-6000.8,-401330,1
-70364,92931,1659.4,-453960,1
-49447,33005,10630,-144400,1
-35933,2296.8,7126,-33320,1
-21674,1241.5,-10465,-86208,1
-9607,26963,-31226,-131210,1
-10802,21996,-25862,-127590,1
-23277,14381,-8211.4,-128620,1
-37244,19037,-354.21,-250950,1
-25724,-9560.2,27073,-16639,1
-39297,-60816,100958,-101470,1
-52943,-51463,103332,-111810,1
-38953,40392,-3019,-218360,1
-12244,17485,-14801,-141810,1
-26406,-44159,59830,-13924,1
-46338,-127509,167166,-321680,1
-42887,-78633,118387,-189780,1
-33458,-5049.1,26328,53705,1
-11188,33357,-13455,-195730,1
5593.9,-3104,1830.7,44653,1
-15078,-73191,78981,122890,1
-35060,-125667,151606,-75216,1
-29498,-82730,102646,116290,1
-16029,-3890.3,16200,191030,1
-12667,28183,-24260,-188620,1
-4928.1,30605,-18356,-283400,1
6636.5,-455.33,-1879.4,23447,1
-7206.8,-67583,58408,62369,1
-19966,-95001,96820,-12889,1
-9732.5,-64168,56026,103230,1
-253.14,-1738.3,-1133.9,121980,1
625.25,29301,-35467,-267370,1
-55250,63258,8976.8,-662410,1
-12943,26735,-8408.5,-203230,1
-2403.7,-17837,21350,124180,1
-13968,-96698,94652,-34872,1
-29672,-132869,134727,-262710,1
-11005,-72508,60139,36895,1
2243.2,-5214.7,-4038.6,120170,1
9040.7,33708,-44987,-369650,1
-28619,45193,-5812.3,-426290,1
-10833,-3124.7,12815,41291,1
-15681,-72446,65537,-12760,1
-20545,-108679,94926,-141160,1
2346,-45152,21195,144480,1
15810,8690.9,-23138,82412,1
15514,38013,-49143,-374830,1
-41479,71225,-834.04,-641720,1
-22625,-993.35,28127,48662,1
-17479,-58230,58699,121200,1
-9592.3,-67128,49857,32886,1
13451,2358.9,-18785,132580,1
22279,40951,-48037,-211120,1
12572,48731,-52861,-587410,1
-53857,91214,-4192.9,-591810,1
-29786,23445,5266.7,-40173,1
-15851,-21562,17082,90170,1
-2188.8,-22038,-954,56421,1
13183,19017,-33111,6507.1,1
14896,34288,-40309,-142590,1
1159.2,32219,-34302,-284570,1
-33924,33564,-7200.4,-352330,1
-61632,87096,-2162.1,-363450,1
-40786,29239,8702.6,-65389,1
-25899,-3911,9345.2,42972,1
-10116,-1903.8,-9059.7,300.3,1
661.29,24914,-29401,-62156,1
-2474.5,19368,-24697,-80518,1
-15732,10636,-7123.2,-83880,1
-21668,15933,451.22,-167800,1
-11667,-14237,29241,66119,1
-28391,-66300,104849,-42113,1
-45046,-58126,108867,-52846,1
-24100,37433,-4021.5,-129530,1
4061.4,13492,-14501,-55949,1
-13887,-48773,64774,34179,1
-37503,-134586,175932,-277710,1
-35637,-83827,123930,-128230,1
-25419,-6580.4,26842,119520,1