mcg,gvh,lip,chg,aac,alm1,alm2,Class
49,29,48,50,56,24,35,cp
7,40,48,50,54,35,44,cp
56,40,48,50,49,37,46,cp
59,49,48,50,52,45,36,cp
23,32,48,50,55,25,35,cp
67,39,48,50,36,38,46,cp
29,28,48,50,44,23,34,cp
21,34,48,50,51,28,39,cp
20,44,48,50,46,51,57,cp
42,40,48,50,56,18,30,cp
42,24,48,50,57,27,37,cp
25,48,48,50,44,17,29,cp
39,32,48,50,46,24,35,cp
51,50,48,50,46,32,35,cp
22,43,48,50,48,16,28,cp
25,40,48,50,46,44,52,cp
34,45,48,50,38,24,35,cp
44,27,48,50,55,52,58,cp
23,40,48,50,39,28,38,cp
41,57,48,50,39,21,32,cp
40,45,48,50,38,22,0,cp
31,23,48,50,73,5,14,cp
51,54,48,50,41,34,43,cp
30,16,48,50,56,11,23,cp
36,39,48,50,48,22,23,cp
29,37,48,50,48,44,52,cp
25,40,48,50,47,33,42,cp
21,51,48,50,50,32,41,cp
43,37,48,50,53,35,44,cp
43,39,48,50,47,31,41,cp
53,38,48,50,44,26,36,cp
34,33,48,50,38,35,44,cp
56,51,48,50,34,37,46,cp
40,29,48,50,42,35,44,cp
24,35,48,50,31,19,31,cp
36,54,48,50,41,38,46,cp
29,52,48,50,42,29,39,cp
65,47,48,50,59,30,40,cp
32,42,48,50,35,28,38,cp
38,46,48,50,48,22,29,cp
33,45,48,50,52,32,41,cp
30,37,48,50,59,41,49,cp
40,50,48,50,45,39,47,cp
28,38,48,50,50,33,42,cp
61,45,48,50,48,35,41,cp
17,38,48,50,45,42,50,cp
44,35,48,50,55,55,61,cp
43,40,48,50,39,28,39,cp
42,35,48,50,58,15,27,cp
23,33,48,50,43,33,43,cp
37,52,48,50,42,42,36,cp
29,30,48,50,45,3,17,cp
22,36,48,50,35,39,47,cp
23,58,48,50,37,53,59,cp
47,47,48,50,22,16,26,cp
54,47,48,50,28,33,42,cp
51,37,48,50,35,36,45,cp
40,35,48,50,45,33,42,cp
44,34,48,50,30,33,43,cp
42,38,48,50,54,34,43,cp
44,56,48,50,50,46,54,cp
52,36,48,50,41,28,38,cp
36,41,48,50,48,47,54,cp
18,30,48,50,46,24,35,cp
47,29,48,50,51,33,43,cp
24,43,48,50,54,52,59,cp
25,37,48,50,41,33,42,cp
52,57,48,50,42,47,54,cp
25,37,48,50,43,26,36,cp
35,48,48,50,56,40,48,cp
26,26,48,50,34,25,35,cp
44,51,48,50,47,26,36,cp
37,50,48,50,42,36,45,cp
44,42,48,50,42,25,20,cp
24,43,48,50,37,28,38,cp
42,30,48,50,48,26,36,cp
48,42,48,50,45,25,35,cp
41,48,48,50,51,44,51,cp
44,28,48,50,43,27,37,cp
29,41,48,50,48,38,46,cp
34,28,48,50,41,35,44,cp
41,43,48,50,45,31,41,cp
29,47,48,50,41,23,34,cp
34,55,48,50,58,31,41,cp
36,56,48,50,43,45,53,cp
40,46,48,50,52,49,56,cp
50,49,48,50,49,46,53,cp
52,44,48,50,37,36,42,cp
50,51,48,50,27,23,34,cp
53,42,48,50,16,29,39,cp
34,46,48,50,52,35,44,cp
40,42,48,50,37,27,27,cp
41,43,48,50,50,24,25,cp
30,45,48,50,36,21,32,cp
31,47,48,50,29,28,39,cp
64,76,48,50,45,35,38,cp
35,37,48,50,30,34,43,cp
57,54,48,50,37,28,33,cp
65,55,48,50,34,37,28,cp
51,46,48,50,58,31,41,cp
38,40,48,50,63,25,35,cp
24,57,48,50,63,34,43,cp
38,26,48,50,54,16,28,cp
33,47,48,50,53,18,29,cp
24,34,48,50,38,30,40,cp
26,50,48,50,44,32,41,cp
44,49,48,50,39,38,40,cp
43,32,48,50,33,45,52,cp
49,43,48,50,49,30,40,cp
47,28,48,50,56,20,25,cp
32,33,48,50,60,6,20,cp
34,35,48,50,51,49,56,cp
35,34,48,50,46,30,27,cp
38,30,48,50,43,29,39,cp
38,44,48,50,43,20,31,cp
41,51,48,50,58,20,31,cp
34,42,48,50,41,34,43,cp
51,49,48,50,53,14,26,cp
25,51,48,50,37,42,50,cp
29,28,48,50,50,42,50,cp
25,26,48,50,39,32,42,cp
24,41,48,50,49,23,34,cp
17,39,48,50,53,30,39,cp
4,31,48,50,41,29,39,cp
61,36,48,50,49,35,44,cp
34,51,48,50,44,37,46,cp
28,33,48,50,45,22,33,cp
40,46,48,50,42,35,44,cp
23,34,48,50,43,26,37,cp
37,44,48,50,42,39,47,cp
0,38,48,50,42,48,55,cp
39,31,48,50,38,34,43,cp
30,44,48,50,49,22,33,cp
27,30,48,50,71,28,39,cp
17,52,48,50,49,37,46,cp
36,42,48,50,53,32,41,cp
30,37,48,50,43,18,30,cp
26,40,48,50,36,26,37,cp
40,41,48,50,55,22,33,cp
22,34,48,50,42,29,39,cp
44,35,48,50,44,52,59,cp
27,42,48,50,37,38,43,cp
16,43,48,50,54,27,37,cp
6,61,48,50,49,92,37,im
44,52,48,50,43,47,54,im
63,47,48,50,51,82,84,im
23,48,48,50,59,88,89,im
34,49,48,50,58,85,80,im
43,40,48,50,58,75,78,im
46,61,48,50,48,86,87,im
27,35,48,50,51,77,79,im
52,39,48,50,65,71,73,im
29,47,48,50,71,65,69,im
55,47,48,50,57,78,80,im
12,67,48,50,74,58,63,im
40,50,48,50,65,82,84,im
73,36,48,50,53,91,92,im
84,44,48,50,48,71,74,im
48,45,48,50,60,78,80,im
54,49,48,50,40,87,88,im
48,41,48,50,51,90,88,im
50,66,48,50,31,92,92,im
72,46,48,50,51,66,70,im
47,55,48,50,58,71,75,im
33,56,48,50,33,78,80,im
64,58,48,50,48,78,73,im
54,57,48,50,56,81,83,im
47,59,48,50,52,76,79,im
63,50,48,50,59,85,86,im
49,42,48,50,53,79,81,im
31,50,48,50,57,84,85,im
74,44,48,50,55,88,89,im
33,45,48,50,45,88,89,im
45,40,48,50,61,74,77,im
71,40,48,50,71,70,74,im
50,37,48,50,66,64,69,im
66,53,48,50,59,66,66,im
60,61,48,50,54,67,71,im
83,37,48,50,61,71,74,im
34,51,48,50,67,90,90,im
63,54,48,50,65,79,81,im
70,40,48,50,56,86,83,im
60,50,100,50,54,77,80,im
16,51,48,50,33,39,48,im
74,70,48,50,66,65,69,im
20,46,48,50,57,78,81,im
89,55,48,50,51,72,76,im
70,46,48,50,56,78,73,im
12,43,48,50,63,70,74,im
61,52,48,50,54,67,52,im
33,37,48,50,46,65,69,im
63,65,48,50,66,67,71,im
41,51,48,50,53,75,78,im
34,67,48,50,52,76,79,im
58,34,48,50,56,87,81,im
59,56,48,50,55,80,82,im
51,40,48,50,57,62,67,im
50,57,48,50,71,61,66,im
60,46,48,50,45,81,83,im
37,47,48,50,39,76,79,im
58,55,48,50,57,70,74,im
36,47,48,50,51,69,72,im
39,41,48,50,52,72,75,im
35,51,48,50,61,71,74,im
31,44,48,50,50,79,82,im
61,66,48,50,46,87,88,im
48,49,48,50,52,77,71,im
11,50,48,50,58,72,68,im
31,36,48,50,58,94,94,im
68,51,48,50,71,75,78,im
69,39,48,50,57,76,79,im
52,54,48,50,62,76,79,im
46,59,48,50,36,76,23,im
36,45,48,50,38,79,17,im
0,51,48,50,35,67,44,im
10,49,48,50,41,67,21,im
30,51,48,50,42,61,34,im
61,47,48,50,0,80,32,im
63,75,48,50,64,73,66,im
71,52,48,50,64,100,99,im
85,53,48,50,53,52,35,imS
63,49,48,50,54,76,79,imS
75,55,100,100,40,47,30,imL
70,39,100,50,51,82,84,imL
72,42,48,50,65,77,79,imU
79,41,48,50,66,81,83,imU
83,48,48,50,65,76,79,imU
69,43,48,50,59,74,77,imU
79,36,48,50,46,82,70,imU
78,33,48,50,57,77,79,imU
75,37,48,50,64,70,74,imU
59,29,48,50,64,75,77,imU
67,37,48,50,54,64,68,imU
66,48,48,50,54,70,74,imU
64,46,48,50,48,73,76,imU
76,71,48,50,50,71,75,imU
84,49,48,50,55,78,74,imU
77,55,48,50,51,78,74,imU
81,44,48,50,42,67,68,imU
58,60,48,50,59,73,76,imU
63,42,48,50,48,77,80,imU
62,42,48,50,58,79,81,imU
86,39,48,50,59,89,90,imU
81,53,48,50,57,87,88,imU
87,49,48,50,61,76,79,imU
47,46,48,50,62,74,77,imU
76,41,48,50,50,59,62,imU
70,53,48,50,70,86,87,imU
64,45,48,50,67,61,66,imU
81,52,48,50,57,78,80,imU
73,26,48,50,57,75,78,imU
49,61,100,50,56,71,74,imU
88,42,48,50,52,73,75,imU
84,54,48,50,75,92,70,imU
63,51,48,50,64,72,76,imU
86,55,48,50,63,81,83,imU
79,54,48,50,50,66,68,imU
57,38,48,50,6,49,33,imU
78,44,48,50,45,73,68,imU
78,68,48,50,83,40,29,om
63,69,48,50,65,41,28,om
67,88,48,50,73,50,25,om
61,75,48,50,51,33,33,om
67,84,48,50,74,54,37,om
74,90,48,50,57,53,29,om
73,84,48,50,86,58,29,om
75,76,48,50,83,57,30,om
77,57,48,50,88,53,20,om
74,78,48,50,75,54,15,om
68,76,48,50,84,45,27,om
56,68,48,50,77,36,45,om
65,51,48,50,66,54,33,om
52,81,48,50,72,38,38,om
64,57,48,50,70,33,26,om
60,76,100,50,77,59,52,om
69,59,48,50,77,39,21,om
63,49,48,50,79,45,28,om
71,71,48,50,68,43,36,om
68,63,48,50,73,40,30,om
77,57,100,50,37,54,1,omL
66,49,100,50,54,56,36,omL
71,46,100,50,52,59,30,omL
67,55,100,50,66,58,16,omL
68,49,100,50,62,55,28,omL
74,49,48,50,42,54,36,pp
70,61,48,50,56,52,43,pp
66,86,48,50,34,41,36,pp
73,78,48,50,58,51,31,pp
65,57,48,50,47,47,51,pp
72,86,48,50,17,55,21,pp
67,70,48,50,46,45,33,pp
67,81,48,50,54,49,23,pp
67,61,48,50,51,37,38,pp
63,100,48,50,35,51,49,pp
57,59,48,50,39,47,33,pp
71,71,48,50,40,54,39,pp
66,74,48,50,31,38,43,pp
67,81,48,50,25,42,25,pp
64,72,48,50,49,42,19,pp
68,82,48,50,38,65,56,pp
32,39,48,50,53,28,38,pp
70,64,48,50,47,51,47,pp
63,57,48,50,49,70,20,pp
74,82,48,50,49,49,41,pp
63,86,48,50,39,47,34,pp
63,83,48,50,40,39,19,pp
63,71,48,50,60,40,39,pp
71,86,48,50,40,54,32,pp
68,78,48,50,43,44,42,pp
64,84,48,50,37,45,40,pp
74,47,48,50,50,57,42,pp
75,84,48,50,35,52,33,pp
63,65,48,50,39,44,35,pp
69,67,48,50,30,39,24,pp
70,71,48,50,42,84,85,pp
69,80,48,50,46,57,26,pp
64,66,48,50,41,39,20,pp
63,80,48,50,46,31,29,pp
66,71,48,50,41,50,35,pp
69,59,48,50,46,44,52,pp
68,67,48,50,49,40,34,pp
64,78,48,50,50,36,38,pp
62,78,48,50,47,49,54,pp
76,73,48,50,44,39,39,pp
64,81,48,50,37,39,44,pp
29,39,48,50,52,40,48,pp
62,83,48,50,46,36,40,pp
56,54,48,50,43,37,30,pp
69,66,48,50,41,50,25,pp
69,65,48,50,63,48,41,pp
43,59,48,50,52,49,56,pp
74,56,48,50,47,68,30,pp
71,57,48,50,48,35,32,pp
61,60,48,50,44,39,38,pp
59,61,48,50,42,42,37,pp
74,74,48,50,31,53,52,pp