V1,V2,V3,V4,V5,V6,V7,V8,Class
58,61,47,13,50,0,48,22,9
43,67,48,27,50,0,53,22,9
64,62,49,15,50,0,53,22,9
58,44,57,13,50,0,54,22,10
42,44,48,54,50,0,48,22,9
51,40,56,17,50,50,49,22,1
50,54,48,65,50,0,53,22,9
48,45,59,20,50,0,58,34,10
55,50,66,36,50,0,49,22,9
40,39,60,15,50,0,58,30,1
43,39,54,21,50,0,53,27,10
42,37,59,20,50,0,52,29,10
40,42,57,35,50,0,53,25,1
60,40,52,46,50,0,53,22,9
66,55,45,19,50,0,46,22,9
46,44,52,11,50,0,50,22,1
47,39,50,11,50,0,49,40,1
58,47,54,11,50,0,51,26,10
50,34,55,21,50,0,49,22,10
61,60,55,21,50,0,50,25,10
45,40,50,16,50,0,50,22,1
43,44,48,22,50,0,51,22,1
73,63,42,30,50,0,49,22,1
43,53,52,13,50,0,55,22,1
46,53,52,15,50,0,58,22,1
51,51,52,51,50,0,54,22,9
59,45,53,19,50,0,59,27,1
57,47,60,18,50,0,51,22,1
63,67,57,24,50,0,49,22,9
80,88,36,39,50,0,56,33,6
53,54,43,10,50,0,57,32,10
51,51,43,87,50,0,52,22,9
38,61,61,12,50,0,53,47,1
33,55,51,43,50,0,51,22,10
78,74,42,26,50,0,43,22,6
74,67,47,34,50,0,42,22,5
72,61,45,30,50,0,54,25,9
40,45,57,18,50,0,56,26,1
59,53,43,44,50,0,50,22,9
57,53,53,34,50,0,53,22,9
86,68,39,24,50,0,54,22,7
86,74,51,40,50,0,55,22,7
79,57,41,28,50,0,59,22,7
41,54,39,20,50,0,51,22,8
37,36,56,18,50,0,48,26,3
53,31,58,39,50,0,47,37,10
74,75,58,47,50,0,40,35,7
49,39,52,29,50,0,48,22,5
74,57,51,28,50,0,58,22,3
42,24,34,16,50,0,50,22,8
48,39,51,21,50,0,52,28,1
41,53,45,14,50,0,52,66,8
45,46,55,43,50,0,55,38,10
56,48,58,27,50,0,51,22,1
64,59,56,23,50,0,46,22,1
64,56,56,22,50,0,45,22,1
66,62,49,10,50,0,49,22,1
53,44,51,33,50,0,55,22,1
38,49,53,19,50,0,50,22,1
45,58,48,67,50,0,52,22,9
43,35,52,52,50,0,54,22,9
37,32,47,18,50,0,45,25,10
48,43,51,32,50,0,52,43,10
41,46,59,19,50,0,58,27,10
54,48,44,8,50,0,52,27,1
60,47,45,22,50,0,51,29,1
34,46,57,9,50,0,55,22,1
48,54,55,12,50,0,51,22,1
47,39,59,15,50,0,57,22,1
81,85,47,37,50,0,56,22,5
48,42,52,24,50,0,56,22,1
58,51,49,27,50,0,57,29,1
60,50,44,61,50,0,47,22,9
45,55,54,66,50,0,47,22,9
46,49,58,23,50,0,44,22,9
49,42,56,55,50,0,42,25,9
63,53,54,40,50,0,50,22,9
50,54,53,54,50,0,51,27,9
63,57,59,40,50,0,38,22,9
43,57,51,49,50,0,48,22,9
48,45,55,50,50,0,53,22,9
50,58,46,46,50,0,46,22,9
51,54,60,57,50,0,58,22,9
54,52,63,37,50,0,46,22,9
67,62,40,43,50,83,50,22,9
28,58,21,13,50,0,51,22,8
39,44,35,16,50,0,55,22,8
80,63,45,29,50,0,51,22,5
50,52,59,30,50,0,51,35,10
42,47,52,41,50,0,53,32,1
36,46,62,46,50,0,51,33,1
46,38,47,22,50,0,52,27,9
40,45,56,20,50,0,45,22,1
33,43,64,16,50,0,52,52,10
49,61,49,25,50,0,50,28,1
38,50,37,26,50,0,43,22,8
69,70,52,36,50,0,46,22,5
61,72,39,33,50,0,58,22,9
78,75,40,28,50,0,53,22,9
64,57,57,27,50,0,37,22,1
36,58,35,24,50,0,44,22,8
36,43,39,12,50,0,49,22,8
47,52,50,40,50,0,41,22,1
48,23,57,27,50,0,48,47,10
47,39,55,24,50,0,47,22,1
44,59,36,16,50,0,52,22,8
42,35,54,18,50,0,56,22,1
30,56,55,18,50,0,50,22,1
65,65,52,16,50,0,60,22,1
27,60,48,23,50,0,55,22,1
45,41,50,46,50,50,50,27,2
44,52,41,23,50,0,51,22,10
30,32,57,19,50,0,48,55,10
40,44,49,47,50,0,49,27,10
45,51,50,16,50,0,52,100,10
45,45,50,60,50,0,49,22,9
59,67,56,41,50,0,47,22,9
47,47,57,48,50,0,48,22,9
35,52,48,22,50,0,26,22,9
47,41,66,26,50,0,53,22,9
64,62,29,28,50,0,51,22,9
55,53,55,46,50,0,52,22,9
67,62,54,43,50,0,53,22,9
59,60,49,43,50,0,53,31,9
54,55,34,31,50,0,54,22,8
58,62,54,17,50,0,48,22,9
40,38,53,16,50,0,52,27,10
46,71,48,53,50,0,53,22,9
53,51,55,5,50,0,45,25,10
41,40,59,47,50,0,48,43,1
50,64,57,15,50,0,47,22,1
40,62,52,31,50,0,49,31,1
60,50,57,25,50,0,41,26,1
62,51,52,42,50,0,54,27,10
35,58,54,16,50,0,51,22,10
34,54,50,21,50,0,54,31,1
39,58,50,26,50,0,54,59,8
48,54,50,17,50,0,53,22,10
29,32,58,15,50,0,50,30,1
47,32,64,30,50,0,63,22,10
39,47,56,16,50,0,47,22,1
58,48,51,47,50,0,55,22,10
64,60,57,19,50,0,43,22,10
37,46,40,27,50,0,45,22,10
43,57,53,16,50,0,54,22,1
28,37,61,9,50,0,52,55,10
59,48,50,14,50,0,45,25,1
39,55,48,31,50,0,54,29,1
26,36,47,34,50,0,53,72,10
51,34,50,19,50,0,50,22,10
58,50,50,12,50,0,48,25,10
44,39,53,14,50,0,54,44,1
41,39,44,34,50,0,48,40,10
45,43,51,24,50,0,54,33,1
36,68,46,16,50,0,53,28,10
42,31,50,15,50,0,53,22,10
42,43,56,10,50,0,49,22,1
67,71,52,65,50,0,53,36,10
49,47,53,16,50,0,48,27,10
71,59,48,43,50,0,59,22,9
40,42,71,21,50,0,54,32,1
40,42,71,21,50,0,54,32,1
54,49,49,20,50,0,52,22,1
42,51,50,12,50,0,52,46,10
57,51,53,18,50,0,56,25,10
35,45,43,11,50,0,56,22,8
42,42,42,20,50,0,49,22,8
26,50,33,28,50,0,51,22,8
39,42,38,40,50,0,49,47,8
26,44,30,11,50,0,51,47,8
31,44,53,23,50,0,51,32,10
48,61,44,20,50,0,47,22,1
66,45,50,23,50,0,49,22,1
21,41,55,11,50,0,50,27,1
38,68,44,45,50,0,53,22,9
44,38,48,32,50,83,53,22,2
31,31,56,33,50,0,52,33,10
49,31,49,35,50,0,51,29,10
38,37,56,21,50,0,49,22,10
39,40,53,67,50,0,47,22,1
24,34,69,18,50,0,52,22,1
49,43,51,13,50,0,47,22,1
54,38,52,18,50,0,48,22,1
43,57,53,53,50,0,53,25,1
48,64,61,23,50,0,60,22,1
31,55,52,17,50,0,52,22,1
32,57,50,15,50,0,53,22,1
32,42,52,24,50,0,60,22,1
59,50,52,28,50,0,55,25,1
37,42,51,11,50,0,57,22,1
75,70,38,27,50,0,49,22,6
61,72,31,33,50,0,56,22,9
44,42,60,21,50,0,57,22,1
52,51,51,54,50,0,55,27,9
63,56,45,58,50,0,51,22,9
52,56,54,53,50,0,45,22,9
58,58,58,49,50,0,49,26,9
72,62,34,29,50,0,56,28,9
72,61,37,30,50,0,57,22,9
46,43,38,33,50,0,48,28,9
57,57,44,37,50,0,52,25,9
42,31,62,12,50,0,40,22,9
49,46,45,45,50,0,52,22,9
42,58,41,65,50,0,46,26,9
59,61,34,22,50,0,51,22,9
52,77,38,34,50,0,51,22,9
50,52,60,51,50,0,48,22,9
49,60,43,56,50,0,36,22,9
50,41,44,50,50,0,42,22,9
50,40,56,70,50,0,50,22,9
37,58,44,51,50,0,44,22,9
55,45,45,54,50,0,50,22,9
67,68,46,29,50,0,46,22,9
53,51,46,28,50,0,48,22,1
35,66,49,21,50,0,54,25,1
52,40,60,12,50,0,55,22,1
77,79,58,23,50,0,48,22,5
47,46,59,49,50,0,56,22,9
73,83,43,30,50,0,55,22,6
78,74,58,25,100,0,53,22,4
70,65,54,28,50,0,60,40,3
47,54,37,14,50,0,50,22,8
56,52,48,17,50,0,46,22,10
57,41,59,24,50,0,40,22,1
56,41,58,21,50,0,42,22,1
58,56,45,12,50,0,51,22,10
53,38,66,25,50,0,43,22,10
34,36,54,11,50,0,36,21,10
69,61,38,27,50,0,52,22,7
37,53,60,19,50,50,42,22,2
41,45,53,17,50,0,51,25,10
31,46,54,52,50,0,50,34,10
36,37,33,14,50,0,57,31,8
82,78,49,23,50,0,46,22,5
82,75,54,23,50,0,46,22,5
41,51,58,15,50,0,45,27,1
38,51,75,17,50,0,55,22,1
38,51,75,17,50,0,55,22,1
53,44,51,33,50,0,52,22,9
46,54,71,15,50,0,59,22,9
40,56,48,14,50,0,47,22,9
53,53,60,13,50,0,49,22,9
42,57,72,22,50,0,57,22,9
45,27,57,36,50,0,52,18,1
20,26,52,14,50,0,53,44,1
51,53,55,14,50,0,51,22,1
44,68,45,51,50,0,52,41,9
27,39,66,11,50,0,44,22,9
55,42,34,30,50,0,52,22,8
34,42,30,23,50,0,53,22,8
44,53,52,23,50,83,51,22,2
59,58,56,21,50,0,54,33,10
39,28,46,12,50,0,41,22,10
56,43,54,16,50,0,50,22,10
36,68,38,8,50,0,53,25,3
27,36,60,33,50,0,37,31,10
35,40,59,22,50,0,47,37,10
42,32,50,21,50,0,51,22,10
23,20,53,20,50,0,44,22,10
55,54,56,22,50,0,50,37,10
36,24,49,16,50,0,51,22,10
38,48,59,22,50,0,46,22,1
80,46,50,15,50,0,53,22,1
60,56,47,20,50,0,50,38,10
41,24,54,26,50,0,41,22,10
47,65,54,62,50,0,53,36,9
43,39,54,14,50,0,47,22,10
50,51,52,9,50,0,48,25,10
53,61,52,21,50,0,55,30,10
54,42,41,16,50,0,52,22,7
46,35,53,16,50,0,51,29,1
46,43,49,79,50,0,49,63,10
51,55,35,16,50,0,51,47,8
56,52,55,19,50,0,54,22,1
61,30,59,12,50,0,49,27,10
37,53,46,23,50,0,47,22,10
83,58,33,4,50,0,53,22,7
39,45,53,18,50,0,54,22,1
52,54,50,21,50,0,48,30,1
35,39,57,11,50,0,48,22,10
36,49,30,22,50,0,52,31,8
78,70,32,23,50,0,53,22,6
55,46,53,11,50,0,52,48,1
45,56,54,32,50,0,57,22,1
45,56,53,32,50,0,57,22,1
29,43,40,15,50,0,53,22,8
52,75,37,14,50,0,46,22,8
71,56,39,27,50,0,52,22,7
58,60,43,12,50,0,55,22,8
54,65,49,34,50,0,52,22,1
57,59,44,16,50,0,52,22,7
59,58,46,19,50,0,56,27,1
92,61,40,22,50,0,54,22,7
55,56,45,14,50,0,54,22,1
63,61,41,22,50,0,51,22,8
58,53,38,18,50,0,52,22,8
36,46,43,19,50,0,48,22,8
32,47,55,12,50,0,52,22,1
34,38,45,19,50,0,51,22,7
62,58,46,13,50,0,53,22,1
53,68,42,19,50,0,53,22,8
73,55,41,16,50,0,46,22,7
55,46,46,31,50,0,58,48,10
35,60,47,13,50,0,52,43,10
77,80,51,40,100,0,54,22,4
77,87,47,37,50,0,48,22,5
35,46,49,15,100,0,55,35,1
43,51,48,14,50,0,50,22,1
57,61,45,26,50,0,50,22,1
63,62,42,12,50,0,52,25,1
25,40,51,18,50,0,50,27,1
56,62,53,24,50,0,57,22,1
58,60,51,24,50,0,53,22,1
71,59,53,15,50,0,49,33,1
46,35,33,17,50,0,55,22,8
54,55,42,22,50,0,48,22,8
39,44,28,12,50,0,46,27,8
33,44,49,8,50,0,48,49,10
81,82,41,36,50,0,39,22,5
69,60,51,13,50,83,52,22,2
46,48,44,21,50,0,55,22,2
35,36,57,17,50,0,52,22,1
74,72,47,25,50,0,57,22,6
54,57,52,19,50,0,59,67,10
42,52,40,17,50,0,50,26,8
91,77,34,47,50,0,52,31,6
81,90,39,41,50,0,53,22,7
45,40,56,14,50,0,54,22,1
47,47,58,16,50,0,49,28,1
41,39,51,52,50,0,49,22,1
37,34,32,22,50,0,56,22,8
69,60,50,31,50,0,55,22,1
35,56,36,30,50,0,53,25,8
84,66,36,78,50,0,49,50,6
51,58,54,29,50,0,53,22,1
37,43,62,27,50,0,48,22,10
55,66,57,32,50,0,57,34,1
48,35,42,21,50,0,57,22,1
62,58,52,15,50,0,52,29,1
56,59,53,16,50,0,24,42,10
44,51,37,15,50,0,51,22,8
44,44,49,15,50,0,46,27,10
50,50,48,17,50,0,47,26,1
60,60,49,30,50,0,53,22,10
49,46,34,21,50,0,55,22,8
35,68,57,40,50,0,53,36,10
70,69,43,33,50,0,58,22,6
23,30,58,22,50,0,48,27,10
45,42,52,20,50,0,50,25,1
51,35,46,15,50,0,51,42,1
42,39,47,13,50,0,50,27,1
32,38,52,20,50,0,52,28,1
59,65,52,30,50,0,46,31,1
41,52,41,11,50,0,54,35,1
37,33,50,12,50,0,51,54,1
45,56,49,17,50,0,52,22,1
56,54,59,14,50,0,52,27,10
31,31,54,18,50,0,52,29,10
27,51,47,35,50,0,49,28,10
54,56,57,18,50,0,45,25,10
17,38,45,9,50,0,54,27,10
43,51,54,15,50,0,45,26,10
60,40,59,18,50,0,48,22,1
91,69,57,45,50,0,56,22,7
38,47,53,12,50,0,48,22,1
59,43,52,19,50,0,55,27,1
64,53,45,13,50,0,53,22,1
49,31,34,13,50,0,52,22,8
52,51,51,12,50,0,51,40,1
49,43,48,15,50,0,55,25,1
49,47,52,16,50,0,53,28,1
48,39,49,18,50,0,51,22,1
44,34,55,18,50,0,52,22,1
43,54,58,16,50,0,50,36,10
49,42,54,17,50,0,50,36,1
34,66,51,16,50,0,47,33,10
20,34,33,10,50,0,48,31,8
74,53,50,8,50,0,55,31,1
69,48,38,15,50,0,55,22,7
30,50,47,11,50,0,46,22,1
44,51,48,38,50,0,52,22,1
31,45,50,17,50,0,49,22,1
55,41,56,21,50,0,52,22,1
40,34,52,17,50,0,47,51,10
40,48,50,17,50,0,54,50,1
58,48,56,10,50,0,46,25,10
58,48,56,12,50,0,46,25,10
58,45,48,24,50,0,52,37,1
58,41,51,26,50,0,51,37,1
41,60,53,29,50,0,47,43,10
69,50,49,42,50,0,49,22,9
38,49,61,13,50,0,54,22,1
60,48,44,52,50,0,54,63,10
47,49,63,17,50,0,31,26,10
28,51,55,11,50,0,46,22,10
56,57,63,39,100,0,59,40,10
21,38,49,16,50,0,51,45,1
46,57,57,15,50,0,52,26,10
43,42,54,22,50,0,57,33,10
57,59,50,58,50,0,53,22,9
48,34,47,14,50,0,47,26,1
35,40,53,18,50,0,42,38,1
47,45,53,62,50,0,46,22,9
53,43,47,15,50,0,58,22,1
46,45,56,16,50,0,56,22,1
44,42,62,14,50,0,55,37,10
37,34,58,24,50,0,44,18,10
37,34,58,24,50,0,44,18,10
39,39,55,52,50,0,37,16,10
39,39,55,52,50,0,37,16,10
48,46,38,29,50,0,53,22,8
48,57,50,9,50,0,52,42,10
61,57,45,21,50,0,50,42,10
56,44,56,19,50,0,54,22,1
51,63,30,35,50,0,53,27,8
53,68,34,42,50,0,54,27,8
37,22,64,35,50,0,47,22,10
51,48,58,22,50,0,50,28,10
49,37,59,17,50,0,51,22,10
51,48,58,22,50,0,50,28,10
53,53,53,17,50,0,49,37,10
29,68,47,26,50,0,47,37,10
50,45,49,15,50,0,55,43,10
33,28,31,24,50,0,53,22,8
85,85,30,31,50,0,55,42,6
43,39,51,28,50,0,40,22,10
61,54,49,16,50,0,54,42,1
34,35,61,19,50,0,52,25,10
55,53,56,29,50,0,48,22,9
66,62,52,17,50,0,49,22,1
44,41,58,20,50,0,57,25,1
37,62,34,25,50,0,51,22,8
45,56,51,64,50,0,54,22,9
38,46,52,75,50,0,50,26,9
61,54,49,19,50,0,54,47,1
44,53,52,37,50,0,50,22,10
44,53,52,37,50,0,50,22,10
32,34,61,17,50,0,52,32,10
34,34,61,18,50,0,52,32,10
51,68,49,59,50,0,54,27,9
41,30,49,28,50,0,54,22,1
41,43,50,28,50,0,50,22,1
30,50,34,26,50,0,51,22,8
49,40,34,26,50,0,50,22,8
34,40,30,23,50,0,51,22,8
43,44,30,18,50,0,51,22,8
43,45,37,12,50,0,48,22,8
45,57,30,17,50,0,51,22,8
45,57,30,17,50,0,51,22,8
42,44,33,17,50,0,54,27,8
52,50,53,10,50,0,48,22,2
53,56,49,46,50,0,52,22,9
45,54,54,62,50,0,53,22,9
51,43,63,18,50,0,52,22,1
51,52,48,50,50,0,51,22,9
55,49,50,46,50,0,52,25,9
50,46,52,16,50,0,52,26,1
50,53,45,44,50,0,49,22,9
45,59,53,74,50,0,47,25,9
57,61,55,67,50,0,48,22,9
54,45,62,13,50,0,52,26,10
67,51,53,28,50,0,51,22,9
35,49,47,22,50,0,50,28,9
47,63,66,45,50,0,37,11,9
51,34,43,18,50,0,48,25,1
56,45,59,14,50,0,51,26,10
45,38,59,18,50,0,44,45,10
43,51,60,25,50,0,55,22,1
47,59,43,13,50,0,56,30,8
40,45,42,17,50,0,54,26,8
89,81,36,71,50,0,55,63,6
58,55,52,22,50,0,44,22,9
59,57,46,14,50,0,52,22,9
49,41,32,21,50,0,50,32,8
35,53,35,33,50,0,50,32,8
42,32,61,13,50,0,14,27,10
50,46,42,32,50,0,56,55,8
68,50,43,27,50,0,61,22,7
50,45,49,30,50,0,47,40,10
46,41,50,44,50,0,53,22,9
32,36,34,19,50,0,55,26,8
40,51,42,13,50,0,45,25,8
70,73,37,37,50,0,48,31,6
81,76,32,37,50,0,51,22,7
65,61,39,30,50,0,57,28,8
47,43,35,32,50,0,54,22,8
42,25,60,14,50,0,45,22,1
23,34,41,28,50,0,50,27,10
85,56,33,38,100,0,55,25,4
34,31,60,37,50,0,50,30,10
59,53,47,26,50,0,53,31,10
67,63,34,41,50,0,60,33,6
70,73,38,36,50,0,54,22,6
54,51,54,52,50,0,47,25,9
